ABBEYARD;3737;31
ABBOTSFORD;3067;5857
ABERFELDIE;3039;4
ABERFELDIE;3040;1965
ABERFELDY;3825;41
ACHERON;3714;144
ADA;3833;2
ADAMS ESTATE;3984;122
ADDINGTON;3352;53
ADELAIDE LEAD;3465;110
AGNES;3962;71
AIRE VALLEY;3237;16
AIREYS INLET;3231;1320
AIRLY;3851;103
AIRPORT WEST;3042;5085
ALBACUTYA;3424;7
ALBANVALE;3021;1971
ALBERT PARK;3206;3786
ALBERTON;3971;258
ALBERTON WEST;3971;76
ALBION;3020;2904
ALEXANDRA;3714;1850
ALFREDTON;3350;4317
ALLAMBEE;3823;55
ALLAMBEE RESERVE;3871;49
ALLAMBEE SOUTH;3871;49
ALLANS FLAT;3691;168
ALLANSFORD;3277;805
ALLENDALE;3364;120
ALLESTREE;3305;131
ALMA;3465;152
ALMONDS;3727;34
ALMURTA;3979;67
ALPHINGTON;3078;2956
ALTONA;3018;7224
ALTONA MEADOWS;3028;8817
ALTONA NORTH;3025;6171
ALVIE;3249;93
AMHERST;3371;143
AMOR;3825;10
AMPHITHEATRE;3468;419
ANAKIE;3212;441
ANCONA;3715;119
ANDERSON;3995;29
ANGLERS REST;3898;59
ANGLESEA;3230;3486
ANNUELLO;3549;77
ANTWERP;3414;93
APOLLO BAY;3233;2548
APPIN;3579;45
APPIN SOUTH;3579;63
APSLEY;3319;380
ARAPILES;3409;28
ARARAT;3377;4900
ARAWATA;3951;70
ARBUCKLE;3858;2
ARCADIA;3631;182
ARCADIA SOUTH;3631;101
ARCHDALE;3475;66
ARCHDALE JUNCTION;3475;27
ARCHERTON;3723;36
ARCHIES CREEK;3995;41
ARDEER;3022;1494
ARDMONA;3629;239
AREEGRA;3480;72
ARGYLE;3523;202
ARMADALE;3143;6464
ARMSTRONG;3377;100
ARMSTRONG CREEK;3217;1462
ARNOLD;3551;84
ARNOLD WEST;3551;42
ARTHURS CREEK;3099;206
ARTHURS SEAT;3936;326
ASCOT (BALLARAT);3364;72
ASCOT (BENDIGO);3551;872
ASCOT VALE;3032;8526
ASHBOURNE;3442;150
ASHBURTON;3147;3734
ASHWOOD;3147;3671
ASPENDALE;3195;3244
ASPENDALE GARDENS;3195;2457
ATHLONE;3818;84
ATTWOOD;3049;1171
AUBREY;3393;48
AUCHMORE;3570;26
AVALON;3212;154
AVENEL;3664;751
AVOCA;3467;1040
AVON PLAINS;3477;52
AVONDALE HEIGHTS;3034;5267
AVONMORE;3559;103
AVONSLEIGH;3782;348
AXE CREEK;3551;216
AXEDALE;3551;548
AYRFORD;3268;26
BACCHUS MARSH;3340;3852
BADDAGINNIE;3670;284
BADGER CREEK;3777;707
BAEL BAEL;3579;41
BAGSHOT;3551;155
BAGSHOT NORTH;3551;60
BAHGALLAH;3312;94
BAILIESTON;3608;209
BAIRNSDALE;3875;5946
BAKERY HILL;3350;309
BALACLAVA;3183;3697
BALD HILLS;3364;82
BALINTORE;3249;53
BALLAN;3342;1925
BALLANGEICH;3279;88
BALLAPUR;3483;28
BALLARAT CENTRAL;3350;4822
BALLARAT EAST;3350;3380
BALLARAT NORTH;3350;2247
BALLENDELLA;3561;98
BALLIANG;3340;206
BALLIANG EAST;3340;80
BALLYROGAN;3375;74
BALMATTUM;3666;152
BALMORAL;3407;337
BALNARRING;3926;1215
BALNARRING BEACH;3926;461
BALOOK;3971;35
BALWYN;3103;7487
BALWYN NORTH;3104;9167
BAMAWM;3561;397
BAMAWM EXTENSION;3564;167
BAMBRA;3241;127
BAMGANIE;3333;25
BANDIANA;3691;239
BANGERANG;3393;153
BANGHOLME;3175;257
BANKSIA PENINSULA;3875;49
BANNERTON;3549;237
BANNOCKBURN;3331;2324
BANYAN;3485;56
BANYENA;3388;72
BARANDUDA;3691;944
BARFOLD;3444;88
BARINGHUP;3463;200
BARINGHUP WEST;3463;44
